MA_CAN_BO,TEN_CAN_BO,CHUC_VU,PHONG_BAN,NGAY_NHAN_CHUC
CB0001,Nguyễn Anh,Chánh án,Tòa án nhân dân tỉnh,03/05/2021
CB0002,Nguyễn Văn Minh,Viện trưởng ,Viện Kiểm sát nhân dân tỉnh,03/05/2021
CB0003,Bùi Hoài Nam,Bí thư, Tỉnh đoàn tỉnh Khánh Hòa,03/05/2021
CB0004,Nguyễn Quỳnh Nga,Chủ tịch ,Hội Liên hiệp Phụ nữ tỉnh,03/05/2021
CB0005,Nguyễn Lê Đình Thống,Hiệu trưởng ,Trường Chính trị tỉnh,03/05/2021
CB0006,Trần Quốc Toản,Chỉ huy trưởng,Bộ chỉ huy Bộ đội biên phòng tỉnh,03/05/2021
CB0007,Lữ Thanh Hải,Trưởng Ban, Ban Nội chính Tỉnh ủy,03/05/2021
CB0008,Nguyễn Thế Hùng,GĐ,Công an tỉnh Khánh Hòa,03/05/2021
CB0009,Bùi Đại Thắng,Chỉ huy trưởng, Bộ Chỉ huy Quân sự tỉnh,03/05/2021
CB0010,Lê Hữu Thọ,Trưởng ban,Ban Tuyên giáo Tỉnh ủy,03/05/2021
CB0011,Đặng Văn Tuấn,Trưởng Ban,Ban dân tộc,03/05/2021
CB0012,Phạm Duy Khánh,Phó Trưởng ban,Ban dân tộc,03/05/2021
CB0013,Nguyễn Ngọc Sơn,Phó Trưởng ban,Ban dân tộc,03/05/2021
CB0014,Lê Thu Hải,Giám đốc ,Sở công thương,03/05/2021
CB0015,Phan Thị Thu Cúc,PGĐ,Sở công thương,03/05/2021
CB0016,Nguyễn Sanh Đương,Phó Giám đốc,Sở công thương,03/05/2021
CB0017,Võ Hoàn Hải,Giám đốc ,Sở giáo dục và Đào tạo,16/07/2020
CB0018,Lê Đình Thuần,Phó Giám đốc,Sở giáo dục và Đào tạo,16/07/2020
CB0019,Nguyễn Đức Sơn,Phó Giám đốc,Sở giáo dục và Đào tạo,16/07/2020
CB0020,Đỗ Hữu Quỳnh,Phó Giám đốc,Sở giáo dục và Đào tạo,16/07/2020
CB0021,Trần Hòa Nam,Giám đốc,Sở Kế hoạch và Đầu tư,16/07/2020
